,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,1,-1,1,-1,-1,-1,-1,1,0.0,-10.847738,633
1,-1,1,-1,1,-1,-1,-1,-1,-1,0.0,-9.808838000000002,63
2,-1,-1,-1,1,-1,-1,-1,-1,1,0.0,-9.287212999999998,25
3,1,-1,1,-1,1,-1,1,1,1,0.0,-9.248302000000002,88
4,1,1,1,-1,1,-1,1,1,1,0.0,-8.973327000000001,36
5,-1,1,-1,1,-1,1,-1,-1,1,0.0,-8.764491999999997,36
6,-1,1,-1,1,-1,-1,1,-1,1,0.0,-8.563498,6
7,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.479443,18
8,1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.309213,24
9,-1,-1,-1,1,-1,-1,-1,-1,-1,0.0,-8.248313,1
10,-1,1,-1,-1,-1,-1,1,-1,1,0.0,-8.232928000000001,3
11,1,-1,1,-1,1,-1,1,1,-1,0.0,-8.209402,8
12,1,-1,-1,-1,1,-1,1,1,1,0.0,-8.146697,11
13,1,-1,-1,-1,1,-1,-1,-1,1,0.0,-7.9268030000000005,13
14,-1,1,-1,1,-1,1,-1,-1,-1,0.0,-7.725591999999998,2
15,-1,1,-1,-1,-1,-1,-1,-1,1,0.0,-7.722168000000001,1
16,-1,-1,-1,1,-1,1,-1,-1,1,0.0,-7.560206999999999,2
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-7.440542999999999,1
18,1,-1,-1,1,-1,-1,-1,-1,1,0.0,-7.336823,2
19,1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-7.270312999999999,3
20,1,-1,1,-1,1,1,1,1,1,0.0,-7.252448,7
21,-1,1,-1,-1,-1,-1,1,-1,-1,0.0,-7.194028000000002,2
22,1,-1,-1,-1,1,-1,1,1,-1,0.0,-7.107796999999999,2
23,-1,1,-1,1,-1,1,1,-1,1,0.0,-7.045151999999999,1
24,-1,1,1,1,-1,1,-1,-1,1,0.0,-6.9809969999999995,2
25,1,-1,-1,-1,1,-1,-1,-1,-1,0.0,-6.8879030000000006,3
26,-1,-1,-1,-1,-1,-1,1,-1,1,0.0,-6.800002999999999,1
27,1,-1,-1,-1,1,-1,-1,1,1,0.0,-5.725337000000001,2
28,1,1,1,-1,1,1,1,1,-1,0.0,-5.582332999999999,1
29,1,-1,1,-1,1,-1,-1,-1,1,0.0,-5.413628,1
30,-1,1,-1,-1,-1,1,1,-1,1,0.0,-4.992202,1
31,1,-1,1,-1,1,1,1,-1,1,0.0,-3.8096020000000004,1
