,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,1,-1,1,-1,-1,-1,-1,1,0.0,-10.847738,468
1,-1,1,-1,1,-1,-1,-1,-1,-1,0.0,-9.808838000000002,37
2,-1,-1,-1,1,-1,-1,-1,-1,1,0.0,-9.287212999999998,13
3,1,-1,1,-1,1,-1,1,1,1,0.0,-9.248302000000002,214
4,1,1,1,-1,1,-1,1,1,1,0.0,-8.973327000000001,71
5,-1,1,-1,1,-1,1,-1,-1,1,0.0,-8.764491999999997,24
6,-1,1,-1,1,-1,-1,1,-1,1,0.0,-8.563498,4
7,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.479443,26
8,1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.309213,20
9,-1,-1,-1,1,-1,-1,-1,-1,-1,0.0,-8.248313,2
10,-1,1,-1,-1,-1,-1,1,-1,1,0.0,-8.232928000000001,17
11,1,-1,1,-1,1,-1,1,1,-1,0.0,-8.209402,12
12,1,-1,-1,-1,1,-1,1,1,1,0.0,-8.146697,33
13,1,1,1,-1,1,-1,1,1,-1,0.0,-7.934427,6
14,1,-1,-1,-1,1,-1,-1,-1,1,0.0,-7.9268030000000005,8
15,-1,1,-1,1,-1,1,-1,-1,-1,0.0,-7.725591999999998,6
16,-1,1,-1,-1,-1,-1,-1,-1,1,0.0,-7.722168000000001,2
17,-1,-1,-1,1,-1,1,-1,-1,1,0.0,-7.560206999999999,3
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-7.440542999999999,1
19,1,-1,-1,1,-1,-1,-1,-1,1,0.0,-7.336823,3
20,1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-7.270312999999999,4
21,1,-1,1,-1,1,1,1,1,1,0.0,-7.252448,11
22,-1,1,-1,-1,-1,-1,1,-1,-1,0.0,-7.194028000000002,1
23,1,-1,-1,-1,1,-1,1,1,-1,0.0,-7.107796999999999,2
24,-1,1,-1,1,-1,1,1,-1,1,0.0,-7.045151999999999,2
25,1,1,1,1,1,-1,1,1,1,0.0,-7.015156999999999,3
26,1,-1,-1,-1,1,-1,-1,-1,-1,0.0,-6.8879030000000006,1
27,-1,-1,-1,-1,-1,-1,1,-1,1,0.0,-6.800002999999999,1
28,1,-1,1,-1,1,1,1,1,-1,0.0,-6.213548,2
29,1,1,-1,-1,1,-1,1,1,1,0.0,-6.151362,1
30,1,-1,1,-1,1,-1,1,-1,1,0.0,-5.713568000000001,1
31,1,-1,1,-1,1,-1,-1,-1,1,0.0,-5.413628,1
