,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,1,-1,1,-1,-1,-1,-1,1,0.0,-10.847738,728
1,-1,1,-1,1,-1,-1,-1,-1,-1,0.0,-9.808838000000002,64
2,-1,-1,-1,1,-1,-1,-1,-1,1,0.0,-9.287212999999998,29
3,1,-1,1,-1,1,-1,1,1,1,0.0,-9.248302000000002,50
4,1,1,1,-1,1,-1,1,1,1,0.0,-8.973327000000001,25
5,-1,1,-1,1,-1,1,-1,-1,1,0.0,-8.764491999999997,30
6,-1,1,-1,1,-1,-1,1,-1,1,0.0,-8.563498,10
7,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.479443,5
8,1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.309213,6
9,-1,-1,-1,1,-1,-1,-1,-1,-1,0.0,-8.248313,5
10,1,-1,1,-1,1,-1,1,1,-1,0.0,-8.209402,9
11,1,-1,-1,-1,1,-1,1,1,1,0.0,-8.146697,17
12,1,1,1,-1,1,-1,1,1,-1,0.0,-7.934427,1
13,1,-1,-1,-1,1,-1,-1,-1,1,0.0,-7.9268030000000005,2
14,1,-1,-1,1,-1,-1,-1,-1,1,0.1111111111111111,-7.336823,4
15,-1,1,-1,1,-1,1,-1,-1,-1,0.0,-7.725591999999998,1
16,-1,1,-1,-1,-1,-1,-1,-1,1,0.0,-7.722168000000001,1
17,-1,-1,-1,1,-1,1,-1,-1,1,0.0,-7.560206999999999,5
18,-1,1,-1,1,-1,-1,1,-1,-1,0.0,-7.524597999999998,1
19,1,-1,-1,1,-1,-1,-1,-1,1,0.0,-7.336823,1
20,1,-1,1,-1,1,1,1,1,1,0.0,-7.252448,2
21,-1,1,-1,1,-1,1,1,-1,1,0.0,-7.045151999999999,1
22,-1,1,1,1,-1,1,1,-1,1,0.0,-6.659237,2
23,1,-1,1,-1,1,1,1,1,-1,0.0,-6.213548,1
