,0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
0,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0.0,-1206.0,1
1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,0.0,-1206.0,1
2,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,0.0,-1206.0,1
3,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,0.0,-1206.0,1
4,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,0.0,-1206.0,2
5,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,0.0,-1206.0,2
6,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,0.0,-1206.0,2
